"Title_id";"Movie_title";"Genre";"Duration";"Country";"Rating";"Director";"Score";"Release_date";"Income";"Votes"
"tt0111161";"The Shawshank Redemption";"Drama";"142 mins";"USA";"R";"Frank Darabont";"9.3";"1995-02-10";"$28,815,245";"2,278,845"
"tt0068646";"The Godfather";"Crime, Drama";"175 mins";"USA";"R";"Francis Ford Coppola";"9.2";"1972-09-21";"$246,120,974";"1,572,674"
"tt0468569";"The Dark Knight";"Action, Crime, Drama";"152 mins";"USA";"PG-13";"Christopher Nolan";"9.0";"2008-07-23";"$1,005,455,211";"2,241,615"
"tt0071562";"The Godfather: Part II";"Crime, Drama";"220 mins";"USA";"R";"Francis Ford Coppola";"9.0";"1975-09-25";"$4";"1,098,714"
"tt0110912";"Pulp Fiction";"Crime, Drama";"154 mins";"USA";"R";"Quentin Tarantino";"8.9";"1994-10-28";"$222,831,817";"1,780,147"
"tt0167260";"The Lord of the Rings: The Return of the King";"Action, Adventure, Drama";"201 mins";"New Zealand";"PG-13";"Peter Jackson";"8.9";"2022-02-04";"$1,142,271,098";"1,604,280"
"tt0108052";"Schindler's List";"Biography, Drama, History";"195 mins";"USA";"R";"Steven Spielberg";"8.9";"1994-03-11";"$322,287,794";"1,183,248"
"tt0050083";"12 Angry Men";"Crime, Drama";"96 mins";"USA";"Unrated";"Sidney Lumet";"8.9";"1957-09-04";"$576";"668,473"
"tt1375666";"Inception";"Action, Adventure, Sci-Fi";"148 mins";"USA";"PG-13";"Christopher Nolan";"8.8";"2010-09-24";"$869,784,991";"2,002,816"
"tt0137523";"Fight Club";"Drama";"Inf mins";"UK";"R";"David Fincher";"8.8";"1999-10-29";"$101,218,804";"1,807,440"
"tt0109830";"Forrest Gump";"Drama, Romance";"142 mins";"USA";"PG-13";"Robert Zemeckis";"8:8";"1994-10-06";"$678,229,452";"1,755,490"
"tt0120737";"The Lord of the Rings: The Fellowship of the Ring";"Action, Adventure, Drama";"178c mins";"New Zesland";"PG-13";"Peter Jackson";"8.8";"2002-01-18";"$887,934,303";"1,619,920"
"tt0060196";"Il buono, il brutto, il cattivo";"Western";"161 mins";"Italy";"Unrated";"Sergio Leone";"8.8";"1966-11-23";"$25,252,481";"672,499"
"tt0133093";"The Matrix";"Action, Sci-Fi";"136 mins";"USA";"R";"Lana Wachowski, Lilly Wachowski";"8.7";"1999-05-07";"$465,718,588";"1,632,315"
"tt0167261";"The Lord of the Rings: The Two Towers";"Action, Adventure, Drama";"179 mins";"New Zeland";"PG-13";"Peter Jackson";"8.7";"2003-01-16";"$951,227,416";"1,449,778"
"tt0080684";"Star Wars: Episode V - The Empire Strikes Back";"Action, Adventure, Fantasy";"124 mins";"USA";"PG";"Irvin Kershner";"8.7";"1980-09-19";"$549,265,501";"1,132,073"
"tt0099685";"Goodfellas";"Biography, Crime, Drama";"146 mins";"USA";"R";"Martin Scorsese";"8.7";"1990-09-20";"$46,879,633";"991,505"
"tt0073486";"One Flew Over the Cuckoo's Nest";"Drama";"- mins";"USA";"R";"Milos Forman";"8.7";"18-11-1976";"$108,997,629";"891,071"
"tt0816692";"Interstellar";"Adventure, Drama, Sci-Fi";"169 mins";"USA";"PG-13";"Christopher Nolan";"8.6";"2014-11-06";"$696,742,056";"1,449,256"
"tt0114369";"Se7en";"Crime, Drama, Mystery";"127 mins";"USA";"R";"David Fincher";"8.6";"1995-12-15";"$327,333,559";"1,402,015"
"tt0102926";"The Silence of the Lambs";"Crime, Drama, Thriller";"118 mins";"USA";"R";"Jonathan Demme";"8,6";"1991-03-05";"$272,753,884";"1,234,134"
"tt0076759";"Star Wars";"Action, Adventure, Fantasy";"121 mins";"USA";"PG";"George Lucas";"8.6";"1977-10-20";"$775,768,912";"1,204,107"
"tt0120815";"Saving Private Ryan";"Drama, War";"169 mins";"USA";"R";"Steven Spielberg";"8.6";"1998-10-30";"$482,349,603";"1,203,825"
"tt0120689";"The Green Mile";"Crime, Drama, Fantasy";"189 mins";"USA";"R";"Frank Darabont";"8.6";"2000-10-03";"$286,801,374";"1,112,336"
"tt0317248";"Cidade de Deus";"Crime, Drama";"130 mins";"Brazil";"R";"Fernando Meirelles, Kátia Lund";"8.6";"2003-05-09";"$30,680,793";"685,856"
